province,tb_case_notification_rate,population_density,proper_housing_percent,health_facilities_ratio,poverty_rate,year,log_population_density
Aceh,226,98,67.76,8.05,14.23,2024,4.585
Sumatera Utara,323,215,73.47,5.32,7.99,2024,5.3706
Sumatera Barat,269,139,62.29,6.13,5.97,2024,4.9345
Riau,251,75,74.8,4.82,6.67,2024,4.3175
Jambi,199,76,66.21,6.77,7.1,2024,4.3307
Sumatera Selatan,265,102,63.21,5.0,10.97,2024,4.625
Bengkulu,158,105,56.52,9.71,13.56,2024,4.654
Lampung,192,281,65.96,4.29,10.69,2024,5.6384
Kep. Bangka Belitung,203,92,30.72,6.07,4.55,2024,4.5218
Kepulauan Riau,325,264,57.19,6.05,5.37,2024,5.5759
DKI Jakarta,593,16165,39.0,2.19,4.3,2024,9.6906
Jawa Barat,449,1359,56.25,3.05,7.46,2024,7.2145
Jawa Tengah,237,1104,71.76,3.28,10.47,2024,7.0067
DI Yogyakarta,170,1186,86.68,5.32,10.83,2024,7.0783
Jawa Timur,213,870,73.4,3.38,9.79,2024,6.7685
Banten,452,1329,64.94,3.09,5.84,2024,7.1922
Bali,120,793,85.99,4.56,4.0,2024,6.6758
Nusa Tenggara Barat,196,287,67.74,3.95,12.91,2024,5.6595
Nusa Tenggara Timur,174,122,46.88,8.95,19.48,2024,4.804
Kalimantan Barat,243,39,65.7,5.39,6.32,2024,3.6636
Kalimantan Tengah,203,18,59.92,8.47,5.17,2024,2.8904
Kalimantan Selatan,288,115,60.6,6.86,4.11,2024,4.7449
Kalimantan Timur,279,32,76.77,6.18,5.78,2024,3.4657
Kalimantan Utara,277,11,69.65,10.14,6.32,2024,2.3979
Sulawesi Utara,373,186,74.21,9.59,7.25,2024,5.2257
Sulawesi Tengah,273,51,62.59,8.3,11.77,2024,3.9318
Sulawesi Selatan,308,209,71.86,6.34,8.06,2024,5.3423
Sulawesi Tenggara,238,77,76.67,12.46,11.21,2024,4.3438
Gorontalo,404,102,72.04,9.37,14.57,2024,4.625
Sulawesi Barat,267,91,59.95,7.58,11.21,2024,4.5109
Maluku,281,42,66.13,13.93,16.05,2024,3.7377
Maluku Utara,287,41,68.05,12.76,6.32,2024,3.7136
Papua,640,13,62.15,13.29,17.26,2024,2.5649
Papua Barat,500,10,58.22,15.9,21.66,2024,2.3026
Papua Selatan,872,5,38.34,17.16,17.44,2024,1.6094
Papua Tengah,405,24,26.79,9.51,29.76,2024,3.1781
Papua Pegunungan,104,29,4.44,12.82,32.97,2024,3.3673
Papua Barat Daya,289,16,58.25,18.5,18.13,2024,2.7726
